Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,1,MLT-8530,C94599
"C1, C12, C14, C15, C16, C19, C23, C24, C25, C26, C30, C31, C32, C33, C37, C38, C39, C40, C44, C45, C46, C47, C5, C51, C52, C53, C54, C56, C58, C7, C9",0805,31,10uF,C440198
"C10, C11, C18, C20, C27, C34, C41, C48",0603,8,1uF,C15849
"C13, C21, C28, C35, C42, C49",0603,6,47nF,C1622
"C17, C22, C29, C36, C43, C50",0603,6,4.7uF,C19666
"C2, C55, C6",0603,3,0.1uF,C14663
"C3, C4",CP_EIA-3216-18_Kemet-A,2,100uF,C561794
"C57, C8",0603,2,10nF,C57112
D1,D_SMA,1,SS14,C2480
D2,D_SOD-123F,1,1N4148W,C108804
"J1, J2, J3, J4, J5, J6",BetaFPV BT2.0,6,BetaFPV_BT2.0,
L1,L_Sunlord_SWPA8040S,1,68uH,C2894721
"L2, L3, L4, L5, L6, L7",L_APV_APH0420,6,1.5uH,C167205
M1,Fan,1,Fan,
"Q1, Q11, Q13, Q3, Q4, Q5, Q7, Q9",SOT-23,8,AO3400A,C20917
"Q10, Q12, Q14, Q2, Q6, Q8",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,6,AO4407A,C16072
"R1, R15, R16, R17, R2, R24, R30, R32, R38, R39, R42, R44, R50, R51, R54, R56, R62, R63, R66, R68, R74, R75, R78, R80, R86, R87, R88, R89, R90",0603,29,5.1k,C23186
R10,0603,1,1k,C21190
"R11, R12, R13, R18, R19, R3, R31, R33, R4, R43, R45, R5, R55, R57, R67, R69, R79, R81, R9",0603,19,10k,C25804
"R14, R25, R26, R27, R28, R29, R40, R41, R52, R53, R64, R65, R76, R77",0603,14,100,C22775
"R20, R21, R22, R23, R34, R35, R36, R37, R46, R47, R48, R49, R58, R59, R60, R61, R70, R71, R72, R73, R82, R83, R84, R85",2512,24,15,C20087
"R6, R7, R8, R91",0603,4,0,
"SW2, SW3",SW_PUSH_6mm_H5mm,2,SW_Push,C2837531
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
"U10, U11, U12, U4, U8, U9",WQFN-24_L4.0-W4.0-P0.50-BL-EP,6,BQ25890_1,C130451
"U13, U5",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,2,RT9193-33GB,C15651
U2,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,C970725
U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U6,1.3 TFT,1,~,
U7,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,C130026
"USB1, USB2",USB-C-SMD_TYPE-C-6PIN-2MD-073,2,TYPE-C 16PIN 2MD(073),C2765186
