Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,178.21,-131.46,0.0,bottom
C1,161.36,-130.81,0.0,top
C10,182.94,-118.12,180.0,top
C11,166.45,-125.1,90.0,top
C12,201.97,-110.48,90.0,top
C13,213.84,-107.45,90.0,top
C14,201.85,-100.67,270.0,top
C15,201.86,-104.14,90.0,top
C16,215.12,-103.39,180.0,top
C17,214.56,-105.16,180.0,top
C18,216.03,-100.88,90.0,top
C19,221.6,-110.48,90.0,top
C2,161.11,-132.58,0.0,top
C20,235.66,-100.88,90.0,top
C21,233.47,-107.45,90.0,top
C22,234.19,-105.16,180.0,top
C23,234.75,-103.39,180.0,top
C24,221.48,-100.67,270.0,top
C25,221.49,-104.14,90.0,top
C26,241.23,-110.48,90.0,top
C27,255.29,-100.88,90.0,top
C28,253.1,-107.45,90.0,top
C29,253.82,-105.16,180.0,top
C3,188.8075,-126.39,0.0,top
C30,254.38,-103.39,180.0,top
C31,241.11,-100.67,270.0,top
C32,241.12,-104.14,90.0,top
C33,209.41,-133.52,270.0,top
C34,195.35,-143.12,270.0,top
C35,197.54,-136.55,270.0,top
C36,196.82,-138.84,0.0,top
C37,196.26,-140.61,0.0,top
C38,209.53,-143.33,90.0,top
C39,209.52,-139.86,270.0,top
C4,188.8075,-124.25,0.0,top
C40,229.04,-133.52,270.0,top
C41,214.98,-143.12,270.0,top
C42,217.17,-136.55,270.0,top
C43,216.45,-138.84,0.0,top
C44,215.89,-140.61,0.0,top
C45,229.16,-143.33,90.0,top
C46,229.15,-139.86,270.0,top
C47,248.67,-133.52,270.0,top
C48,234.61,-143.12,270.0,top
C49,236.8,-136.55,270.0,top
C5,188.26,-122.15,0.0,top
C50,236.08,-138.84,0.0,top
C51,235.52,-140.61,0.0,top
C52,248.79,-143.33,90.0,top
C53,248.78,-139.86,270.0,top
C54,184.44,-123.5,180.0,top
C55,184.24,-121.7,180.0,top
C56,160.91,-98.27,90.0,top
C57,164.17,-100.45,0.0,top
C58,166.71,-98.21,90.0,top
C6,187.99,-128.23,0.0,top
C7,177.76,-124.3,90.0,top
C8,184.2,-125.3,180.0,top
C9,180.89,-121.72,0.0,top
D1,190.75,-133.0925,270.0,bottom
D2,178.17,-135.46,180.0,top
J1,205.69,-109.59,90.0,top
J2,225.32,-109.59,90.0,top
J3,244.95,-109.59,90.0,top
J4,205.69,-134.41,270.0,top
J5,225.32,-134.41,270.0,top
J6,244.95,-134.41,270.0,top
L1,188.46,-125.13,0.0,bottom
L2,210.72,-107.59,270.0,top
L3,230.35,-107.59,270.0,top
L4,249.98,-107.59,270.0,top
L5,200.66,-136.41,90.0,top
L6,220.29,-136.41,90.0,top
L7,239.92,-136.41,90.0,top
M1,160.1,-105.06,90.0,top
Q1,217.0475,-115.42,270.0,top
Q10,205.84,-141.48,270.0,top
Q11,213.9625,-128.58,90.0,top
Q12,225.47,-141.48,270.0,top
Q13,233.5925,-128.58,90.0,top
Q14,245.1,-141.48,270.0,top
Q2,205.54,-102.52,90.0,top
Q3,177.95,-132.54,180.0,top
Q4,163.02,-105.1,270.0,top
Q5,236.6775,-115.42,270.0,top
Q6,225.17,-102.52,90.0,top
Q7,256.3075,-115.42,270.0,top
Q8,244.8,-102.52,90.0,top
Q9,194.3325,-128.58,90.0,top
R1,161.125,-135.67,0.0,top
R10,167.24,-122.77,0.0,top
R11,162.92,-111.94,90.0,top
R12,161.18,-111.94,90.0,top
R13,159.44,-111.94,90.0,top
R14,211.77,-97.75,180.0,top
R15,214.805,-97.75,0.0,top
R16,216.3,-111.22,180.0,top
R17,215.35,-109.72,180.0,top
R18,215.36,-107.46,90.0,top
R19,208.73,-97.74,180.0,top
R2,161.13,-134.11,0.0,top
R20,211.52,-118.69,0.0,top
R21,211.52,-114.8,0.0,top
R22,203.81,-118.69,180.0,top
R23,203.81,-114.8,180.0,top
R24,217.035,-119.54,180.0,top
R25,217.035,-121.06,180.0,top
R26,175.23,-132.53,270.0,top
R27,162.96,-107.89,180.0,top
R28,236.66,-121.06,180.0,top
R29,231.4,-97.75,180.0,top
R3,187.37,-132.21,180.0,top
R30,236.665,-119.54,180.0,top
R31,228.36,-97.74,180.0,top
R32,234.435,-97.75,0.0,top
R33,234.99,-107.46,90.0,top
R34,223.44,-114.8,180.0,top
R35,223.44,-118.69,180.0,top
R36,231.15,-114.8,0.0,top
R37,231.15,-118.69,0.0,top
R38,235.93,-111.22,180.0,top
R39,234.98,-109.72,180.0,top
R4,182.93,-119.63,0.0,top
R40,256.29,-121.06,180.0,top
R41,251.03,-97.75,180.0,top
R42,256.295,-119.54,180.0,top
R43,247.99,-97.74,180.0,top
R44,254.065,-97.75,0.0,top
R45,254.62,-107.46,90.0,top
R46,243.07,-114.8,180.0,top
R47,243.07,-118.69,180.0,top
R48,250.78,-114.8,0.0,top
R49,250.78,-118.69,0.0,top
R5,166.68,-101.5,90.0,top
R50,255.56,-111.22,180.0,top
R51,254.61,-109.72,180.0,top
R52,194.35,-122.94,0.0,top
R53,199.61,-146.25,0.0,top
R54,194.345,-124.46,0.0,top
R55,202.65,-146.26,0.0,top
R56,196.575,-146.25,180.0,top
R57,196.02,-136.54,270.0,top
R58,207.57,-129.2,0.0,top
R59,207.57,-125.31,0.0,top
R60,199.86,-129.2,180.0,top
R61,199.86,-125.31,180.0,top
R62,195.08,-132.78,0.0,top
R63,196.03,-134.28,0.0,top
R64,213.98,-122.94,0.0,top
R65,219.24,-146.25,0.0,top
R66,213.975,-124.46,0.0,top
R67,222.28,-146.26,0.0,top
R68,216.205,-146.25,180.0,top
R69,215.65,-136.54,270.0,top
R70,227.2,-129.2,0.0,top
R71,227.2,-125.31,0.0,top
R72,219.49,-129.2,180.0,top
R73,219.49,-125.31,180.0,top
R74,214.71,-132.78,0.0,top
R75,215.66,-134.28,0.0,top
R76,233.61,-122.94,0.0,top
R77,238.87,-146.25,0.0,top
R78,233.605,-124.46,0.0,top
R79,241.91,-146.26,0.0,top
R80,235.835,-146.25,180.0,top
R81,235.28,-136.54,270.0,top
R82,246.83,-129.2,0.0,top
R83,246.83,-125.31,0.0,top
R84,239.12,-129.2,180.0,top
R85,239.12,-125.31,180.0,top
R86,234.34,-132.78,0.0,top
R87,235.29,-134.28,0.0,top
R88,193.08,-110.16,90.0,top
R89,191.52,-110.16,90.0,top
R9,161.53,-126.3,90.0,top
R90,191.62,-121.11,180.0,top
SW2,171.248333,-140.74,0.0,top
SW3,183.661667,-140.74,0.0,top
U1,179.38,-110.89,90.0,bottom
U10,200.19,-143.17,270.0,top
U11,219.82,-143.17,270.0,top
U12,239.45,-143.17,270.0,top
U13,163.7255,-98.1625,90.0,top
U2,161.86,-122.0775,90.0,top
U3,186.32,-133.37,90.0,bottom
U4,211.19,-100.83,90.0,top
U5,180.67,-124.33,90.0,top
U6,177.46,-99.01,0.0,top
U7,194.46,-116.3925,0.0,top
U8,230.82,-100.83,90.0,top
U9,250.45,-100.83,90.0,top
USB1,161.9295,-122.0,90.0,bottom
USB2,162.9725,-133.0,90.0,bottom
